Catégorie;Icon(font);Nom;Url;Tags;Description (168 caractères);Utilisé ?;Image;Note/100;;
;;OpenGameArt;http://opengameart.org/;Assets,Textures;Provides a solid (and hopefully ever-expanding) variety of high quality, freely licensed art;X;opengameart;;;
;;Pygame;http://www.pygame.org/download.shtml;Game-Engine;Pygame is a set of Python modules designed for writing games;V;pygames;75;;
;;;;;;;;;;
Utilities;cogs;Gmusic-Playlist;https://github.com/soulfx/gmusic-playlist.js;Google Music;A javascript based playlist scripts for gmusic. It allows to import and export playlists;V;gmusic;95;;
;;Blisk;https://blisk.io/;Browser;Blisk is a Chromium-based browser built to increase quality and speed of web development and testing;X;blisk;;;
;;Reflector;http://www.airsquirrels.com/reflector/;Mirror;Reflector is a wireless mirroring and streaming receiver ;X;reflector;;;
;;Screensiz;http://screensiz.es/phone;Screen size;Help you quickly find the screen specifications of the most popular devices and monitors currently on the market;X;sreensiz;;;
;;FramerJS;http://framerjs.com/;Design;A new way to design with code;X;framerjs;;;
;;Esportsify;http://esportsify.com/;Team;Create your professional esports website for free;X;esportify;;;
;;Twine;http://twinery.org/;History;An open-source tool for telling interactive, nonlinear stories;V;twine;90;;
;;Ui Names;http://uinames.com/;Names;A simple tool to generate names for use in designs and mockups;X;uinames;;;
;;Ux Pressia;https://uxpressia.com/;Experience Map;Create professional customer journey maps in minutes;X;uxpressia;;;
;;SonarQube;http://www.sonarqube.org/;Quality;SonarQube is an open platform to manage code quality;V;sonarqube;90;;
;;Intro.js;http://introjs.com/;steb-by-step;Intro.js is developed to enable web and mobile developers to create a step-by-step introduction easily.;V;introjs;80;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
